품목명,대분류,기준일,수출금액,단가
반도체_메모리,반도체,2025-06-30,8230269560,21754.12
반도체_메모리,반도체,2026-05-31,24950563218,76312.09
반도체_메모리,반도체,2026-06-30,29038792065,79802.91
반도체_MCP,반도체,2025-06-30,4687620057,43841.37
반도체_MCP,반도체,2026-05-31,9620389441,83781.36
반도체_MCP,반도체,2026-06-30,12681112901,94131.64
반도체_디램,반도체,2025-06-30,2291729988,12159.7
반도체_디램,반도체,2026-05-31,11428031617,77556.93
반도체_디램,반도체,2026-06-30,11175623231,74686.8
반도체_디램 모듈,반도체,2025-06-30,2211855912,8354.83
반도체_디램 모듈,반도체,2026-05-31,7185979898,45573.14
반도체_디램 모듈,반도체,2026-06-30,10670485218,49356.35
반도체_낸드,반도체,2025-06-30,620739271,11270.63
반도체_낸드,반도체,2026-05-31,1721738700,56749.66
반도체_낸드,반도체,2026-06-30,2486161310,62115.43
전기전자_MLCC,전기전자,2025-06-30,115288767,220.11
전기전자_MLCC,전기전자,2026-05-31,129492939,214.56
전기전자_MLCC,전기전자,2026-06-30,150609727,205.79
전기전자_FPCB,전기전자,2025-06-30,163223899,572.76
전기전자_FPCB,전기전자,2026-05-31,158618206,582.32
전기전자_FPCB,전기전자,2026-06-30,166553825,564.13
전기전자_PCB 기판,전기전자,2025-06-30,233211426,217.95
전기전자_PCB 기판,전기전자,2026-05-31,256733658,237.98
전기전자_PCB 기판,전기전자,2026-06-30,292545753,263.25
반도체_테스트소켓,반도체,2025-06-30,88427212,169.37
반도체_테스트소켓,반도체,2026-05-31,90417061,183.15
반도체_테스트소켓,반도체,2026-06-30,100499912,176.47
반도체_테스트 핀/포고핀,반도체,2025-06-30,121625208,41.35
반도체_테스트 핀/포고핀,반도체,2026-05-31,131695318,38.85
반도체_테스트 핀/포고핀,반도체,2026-06-30,146507372,38.42
반도체_프로브카드,반도체,2025-06-30,54097274,869.6
반도체_프로브카드,반도체,2026-05-31,65293468,1188.65
반도체_프로브카드,반도체,2026-06-30,82489114,796.46
반도체_SiC/Si/Quartz 식각 소모품,반도체,2025-06-30,149056942,408.41
반도체_SiC/Si/Quartz 식각 소모품,반도체,2026-05-31,129758902,356.32
반도체_SiC/Si/Quartz 식각 소모품,반도체,2026-06-30,151143249,266.46
반도체_장비_증착,반도체,2025-06-30,83586442,390.61
반도체_장비_증착,반도체,2026-05-31,95266492,331.93
반도체_장비_증착,반도체,2026-06-30,144843743,201.33
반도체_장비_습식 식각 및 세정,반도체,2025-06-30,15564060,92.74
반도체_장비_습식 식각 및 세정,반도체,2026-05-31,29111372,188.7
반도체_장비_습식 식각 및 세정,반도체,2026-06-30,50565086,107.18
반도체_장비_본딩,반도체,2025-06-30,38584652,169.79
반도체_장비_본딩,반도체,2026-05-31,31505785,142
반도체_장비_본딩,반도체,2026-06-30,68779447,110.28
반도체_장비_핸들러,반도체,2025-06-30,1226,172.68
반도체_장비_핸들러,반도체,2026-05-31,135124,164.75
반도체_장비_핸들러,반도체,2026-06-30,66093,27538.75
반도체_장비_스트립/건식 세정,반도체,2025-06-30,13538054,236.48
반도체_장비_스트립/건식 세정,반도체,2026-05-31,14985444,268.92
반도체_장비_스트립/건식 세정,반도체,2026-06-30,23710689,257.26
반도체_장비_범핑/리플로우,반도체,2025-06-30,21645748,105.02
반도체_장비_범핑/리플로우,반도체,2026-05-31,36837575,133.85
반도체_장비_범핑/리플로우,반도체,2026-06-30,33145338,112.49
반도체_장비_레이저가공/다이싱,반도체,2025-06-30,2793494,90.11
반도체_장비_레이저가공/다이싱,반도체,2026-06-30,784136,20.81
반도체_장비_검사장비,반도체,2025-06-30,18006571,123.55
반도체_장비_검사장비,반도체,2026-05-31,14877547,208.59
반도체_장비_검사장비,반도체,2026-06-30,22394195,105.28
반도체_장비_스크러버,반도체,2025-06-30,25081431,77.76
반도체_장비_스크러버,반도체,2026-05-31,27865556,81.65
반도체_장비_스크러버,반도체,2026-06-30,38218761,73.31
반도체_장비_칠러,반도체,2025-06-30,14808769,15.79
반도체_장비_칠러,반도체,2026-05-31,12085217,15.35
반도체_장비_칠러,반도체,2026-06-30,13552941,13.51
반도체_장비_고압수소어닐링 (HPA),반도체,2025-06-30,7396000,534.18
반도체_장비_고압수소어닐링 (HPA),반도체,2026-05-31,6872248,444.78
반도체_장비_고압수소어닐링 (HPA),반도체,2026-06-30,15421732,508.95
전기전자_디스플레이_OLED 전체,전기전자,2025-06-30,805187180,522.57
전기전자_디스플레이_OLED 전체,전기전자,2026-05-31,1043789422,610.75
전기전자_디스플레이_OLED 전체,전기전자,2026-06-30,1117497533,521.29
전기전자_디스플레이_OLED 모바일,전기전자,2025-06-30,489996254,1943.87
전기전자_디스플레이_OLED 모바일,전기전자,2026-05-31,762348739,2794.56
전기전자_디스플레이_OLED 모바일,전기전자,2026-06-30,787464455,2814.03
전기전자_디스플레이_OLED_TV,전기전자,2025-06-30,78807745,103.4
전기전자_디스플레이_OLED_TV,전기전자,2026-05-31,94299688,108.86
전기전자_디스플레이_OLED_TV,전기전자,2026-06-30,141689547,107.87
전기전자_디스플레이_LCD,전기전자,2025-06-30,200580687,69.25
전기전자_디스플레이_LCD,전기전자,2026-05-31,256265617,63.53
전기전자_디스플레이_LCD,전기전자,2026-06-30,256389912,60.05
화장품_기초화장품,화장품,2025-06-30,626581555,29.52
화장품_기초화장품,화장품,2026-05-31,845932479,31.98
화장품_기초화장품,화장품,2026-06-30,943301509,31.71
화장품_색조화장품,화장품,2025-06-30,142132297,53.96
화장품_색조화장품,화장품,2026-05-31,125400885,52.19
화장품_색조화장품,화장품,2026-06-30,146713568,55.5
